Tipo de Eliminación,Ruta
Carpeta,C:\Users\Usuario\Downloads\Proyectos\J1\Seguir Ejecucion\2023-00242 Ejecutivo Singular Minima Seguir Ejecucion\Titulos\Prueba
Archivo,C:\Users\Usuario\Downloads\Proyectos\J1\Seguir Ejecucion\2023-00295 Ejecutivo Singular Minima Seguir Ejecucion\02MedidasCautelares\00INdiceElectronico.xlsx
Carpeta,C:\Users\Usuario\Downloads\Proyectos\J1\Seguir Ejecucion\2023-00315 Ejecutivo Singular Minima Seguir Ejecucion\Cuaderno 2 Medidas Cautelares\prueba
Archivo,C:\Users\Usuario\Downloads\Proyectos\J1\Seguir Ejecucion\2023-00378 Ejecutivo Singular Minima Seguir Ejecucion\Cuaderno 1 Principal\00INDICE.xlsx
